name,description,categories,ingredients,steps
Creamy Wrap,A zesty and easy-to-make dish perfect for any day.,Vegan,potato: 1 piece; cheese: 100g; pepper: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Zesty Curry,A quick and easy-to-make dish perfect for any day.,High-protein; Lunch; Dessert,tomato: 200g; garlic: 2 pieces; beans: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Savory Salad,A fresh and easy-to-make dish perfect for any day.,Low-carb,rice: 1 cup; carrot: 100g; onion: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Hearty Tacos,A hearty and easy-to-make dish perfect for any day.,Dessert,cheese: 1 tbsp; pepper: 2 pieces; beans: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Creamy Stew,A fragrant and easy-to-make dish perfect for any day.,Dessert; High-protein; Breakfast,onion: 1 cup; spinach: 1 tbsp; garlic: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Comforting Bowl,A quick and easy-to-make dish perfect for any day.,Dessert,potato: 200g; onion: 2 tbsp; pasta: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Simple Salad,A quick and easy-to-make dish perfect for any day.,Dinner; High-protein; Vegetarian,spinach: 1 piece; pepper: 2 tbsp; chicken: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Zesty Salad,A comforting and easy-to-make dish perfect for any day.,Dessert; Lunch; Vegetarian,potato: 1 cup; garlic: 1 cup; tomato: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fragrant Stew,A savory and easy-to-make dish perfect for any day.,Breakfast; Gluten-free,tomato: 1 tbsp; pork: 100g; potato: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Zesty Stir-fry,A fragrant and easy-to-make dish perfect for any day.,Dessert,pasta: 100g; onion: 200g; chicken: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Hearty Gratin,A quick and easy-to-make dish perfect for any day.,Snack,rice: 2 pieces; spinach: 100g; cheese: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Spicy Chili,A fresh and easy-to-make dish perfect for any day.,Snack,carrot: 200g; pepper: 1 piece; pepper: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Simple Pasta,A creamy and easy-to-make dish perfect for any day.,Dessert,rice: 1 tbsp; tomato: 1 piece; pork: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Creamy Sandwich,A creamy and easy-to-make dish perfect for any day.,Dessert; Dinner,cheese: 1 cup; pasta: 200g; tomato: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Hearty Casserole,A simple and easy-to-make dish perfect for any day.,Low-carb,pepper: 200g; garlic: 100g; spinach: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Simple Salad,A quick and easy-to-make dish perfect for any day.,Vegetarian; Breakfast; Gluten-free,rice: 2 pieces; chicken: 100g; pasta: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fragrant Pasta,A quick and easy-to-make dish perfect for any day.,Low-carb; Dessert; High-protein,garlic: 2 pieces; pepper: 200g; spinach: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fresh Curry,A zesty and easy-to-make dish perfect for any day.,Gluten-free,salmon: 100g; garlic: 200g; garlic: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fragrant Casserole,A fragrant and easy-to-make dish perfect for any day.,Dessert; Vegan; Vegetarian,beans: 1 cup; beans: 1 cup; potato: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fragrant Stir-fry,A hearty and easy-to-make dish perfect for any day.,Dinner; Snack,pork: 1 cup; beef: 100g; beans: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Quick Stir-fry,A spicy and easy-to-make dish perfect for any day.,Breakfast,pork: 200g; chicken: 2 tbsp; beans: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Zesty Paella,A zesty and easy-to-make dish perfect for any day.,Lunch; Low-carb,onion: 1 cup; pasta: 1 cup; beans: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Curry,A savory and easy-to-make dish perfect for any day.,Low-carb; Vegetarian; High-protein,garlic: 1 tbsp; pork: 2 pieces; beef: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Noodles,A fresh and easy-to-make dish perfect for any day.,Dessert; Snack; Breakfast,carrot: 200g; spinach: 1 tbsp; carrot: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Comforting Risotto,A hearty and easy-to-make dish perfect for any day.,Dinner; Vegan,pepper: 1 cup; cheese: 1 tbsp; pasta: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Stew,A fresh and easy-to-make dish perfect for any day.,Lunch; Gluten-free; Breakfast,tomato: 2 tbsp; tomato: 2 tbsp; pork: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fragrant Stir-fry,A creamy and easy-to-make dish perfect for any day.,Low-carb,tomato: 2 pieces; rice: 2 tbsp; pepper: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Simple Casserole,A creamy and easy-to-make dish perfect for any day.,Breakfast,cheese: 1 cup; pepper: 2 pieces; pasta: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Zesty Omelet,A simple and easy-to-make dish perfect for any day.,Low-carb; Lunch; Snack,pepper: 2 tbsp; spinach: 1 cup; beef: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Fresh Wrap,A zesty and easy-to-make dish perfect for any day.,Vegan,carrot: 1 tbsp; pepper: 1 cup; onion: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Zesty Paella,A zesty and easy-to-make dish perfect for any day.,Vegan; Breakfast; Vegetarian,cheese: 2 pieces; garlic: 200g; spinach: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fragrant Bowl,A comforting and easy-to-make dish perfect for any day.,Breakfast; Gluten-free; Low-carb,pasta: 1 piece; potato: 100g; potato: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Curry,A simple and easy-to-make dish perfect for any day.,Snack,tomato: 100g; tomato: 100g; pasta: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Curry,A fragrant and easy-to-make dish perfect for any day.,High-protein,potato: 1 cup; chicken: 200g; potato: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Fragrant Burger,A creamy and easy-to-make dish perfect for any day.,Dessert,beans: 200g; tomato: 1 tbsp; pasta: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Comforting Quiche,A spicy and easy-to-make dish perfect for any day.,Vegan; High-protein,pepper: 2 pieces; beef: 1 cup; tomato: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Quick Wrap,A comforting and easy-to-make dish perfect for any day.,Breakfast,salmon: 100g; pasta: 1 cup; beans: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Creamy Sandwich,A savory and easy-to-make dish perfect for any day.,Vegan; Lunch; Dinner,pork: 2 pieces; garlic: 2 tbsp; pork: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fresh Salad,A savory and easy-to-make dish perfect for any day.,Snack,beef: 200g; potato: 1 tbsp; beef: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Simple Soup,A simple and easy-to-make dish perfect for any day.,Lunch; Dinner,pasta: 1 cup; onion: 100g; tomato: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Zesty Quiche,A hearty and easy-to-make dish perfect for any day.,Gluten-free,pepper: 100g; pasta: 1 piece; onion: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Fresh Sandwich,A fragrant and easy-to-make dish perfect for any day.,Snack; High-protein,spinach: 1 tbsp; spinach: 1 piece; potato: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Simple Salad,A hearty and easy-to-make dish perfect for any day.,Dessert,pepper: 1 tbsp; tomato: 2 pieces; tomato: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Soup,A spicy and easy-to-make dish perfect for any day.,Gluten-free,carrot: 2 tbsp; pepper: 1 piece; pepper: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Quick Curry,A savory and easy-to-make dish perfect for any day.,Dessert; Vegetarian; Lunch,onion: 2 tbsp; potato: 1 piece; rice: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fresh Stew,A spicy and easy-to-make dish perfect for any day.,Lunch,spinach: 1 cup; carrot: 2 tbsp; rice: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Zesty Casserole,A comforting and easy-to-make dish perfect for any day.,Lunch; High-protein; Breakfast,garlic: 100g; garlic: 2 pieces; pork: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Zesty Tacos,A quick and easy-to-make dish perfect for any day.,Breakfast; Gluten-free; Dinner,rice: 1 tbsp; pork: 2 tbsp; potato: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Stir-fry,A fresh and easy-to-make dish perfect for any day.,Low-carb; Dinner; Dessert,beef: 2 tbsp; cheese: 100g; onion: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Creamy Salad,A savory and easy-to-make dish perfect for any day.,Vegetarian; Dessert; Lunch,beef: 2 tbsp; pepper: 1 tbsp; pepper: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Fresh Stew,A zesty and easy-to-make dish perfect for any day.,Vegan; High-protein; Dinner,potato: 2 pieces; carrot: 2 pieces; pork: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Hearty Burger,A fragrant and easy-to-make dish perfect for any day.,Dinner; Breakfast; Vegetarian,carrot: 1 cup; pork: 1 piece; beef: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Fragrant Stew,A zesty and easy-to-make dish perfect for any day.,Dessert,pork: 1 piece; carrot: 2 pieces; carrot: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Wrap,A zesty and easy-to-make dish perfect for any day.,Dinner; Dessert; Vegan,pork: 1 cup; tomato: 1 piece; garlic: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Creamy Bowl,A zesty and easy-to-make dish perfect for any day.,Vegetarian; Breakfast; High-protein,beans: 1 piece; chicken: 2 tbsp; beef: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Creamy Casserole,A zesty and easy-to-make dish perfect for any day.,Dessert; Low-carb,potato: 1 tbsp; cheese: 1 tbsp; salmon: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Spicy Soup,A fragrant and easy-to-make dish perfect for any day.,Snack; Vegan,garlic: 2 pieces; spinach: 100g; spinach: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Spicy Burger,A quick and easy-to-make dish perfect for any day.,Low-carb; Snack; Dinner,garlic: 1 piece; chicken: 2 pieces; tomato: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Hearty Salad,A hearty and easy-to-make dish perfect for any day.,Snack; Dinner,tomato: 2 pieces; onion: 1 tbsp; pepper: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Fragrant Pizza,A spicy and easy-to-make dish perfect for any day.,Breakfast; Dessert; High-protein,carrot: 1 piece; spinach: 1 piece; salmon: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Zesty Quiche,A quick and easy-to-make dish perfect for any day.,Low-carb; Snack,pasta: 2 tbsp; spinach: 1 tbsp; carrot: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Hearty Stew,A quick and easy-to-make dish perfect for any day.,Lunch; Snack,cheese: 2 pieces; chicken: 200g; chicken: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fragrant Sandwich,A comforting and easy-to-make dish perfect for any day.,Snack; Dinner; Vegan,beans: 1 piece; pepper: 100g; beans: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fresh Salad,A fragrant and easy-to-make dish perfect for any day.,Dessert; Low-carb; Breakfast,cheese: 2 tbsp; pork: 1 piece; beef: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Savory Sandwich,A fresh and easy-to-make dish perfect for any day.,Low-carb; Lunch,chicken: 1 cup; onion: 200g; rice: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Zesty Wrap,A fresh and easy-to-make dish perfect for any day.,Vegan; Dessert,potato: 200g; spinach: 200g; beef: 2 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Simple Paella,A savory and easy-to-make dish perfect for any day.,Lunch; Vegetarian; Snack,tomato: 2 tbsp; beef: 1 tbsp; beans: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Noodles,A savory and easy-to-make dish perfect for any day.,High-protein; Low-carb,cheese: 200g; salmon: 2 pieces; pasta: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Zesty Stew,A comforting and easy-to-make dish perfect for any day.,High-protein,onion: 1 piece; garlic: 100g; tomato: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Creamy Quiche,A fresh and easy-to-make dish perfect for any day.,Vegetarian,salmon: 200g; onion: 200g; tomato: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Fresh Stir-fry,A spicy and easy-to-make dish perfect for any day.,Dessert; Dinner; High-protein,spinach: 200g; spinach: 100g; garlic: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fresh Risotto,A spicy and easy-to-make dish perfect for any day.,Vegetarian,onion: 100g; beef: 1 cup; pork: 1 cup,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Hearty Chili,A fragrant and easy-to-make dish perfect for any day.,Snack,pasta: 1 piece; spinach: 2 tbsp; chicken: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Hearty Pizza,A zesty and easy-to-make dish perfect for any day.,Vegetarian; Lunch; Vegan,pepper: 2 pieces; pepper: 100g; salmon: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Hearty Stew,A fragrant and easy-to-make dish perfect for any day.,Breakfast; Vegetarian; Dinner,pork: 1 tbsp; onion: 2 pieces; pepper: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Hearty Sandwich,A quick and easy-to-make dish perfect for any day.,Dessert; Low-carb; High-protein,pasta: 100g; beans: 2 pieces; carrot: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Fresh Tacos,A spicy and easy-to-make dish perfect for any day.,Dessert; Snack; Vegan,beef: 1 cup; carrot: 1 tbsp; pasta: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Fragrant Stew,A fresh and easy-to-make dish perfect for any day.,Snack,tomato: 1 cup; onion: 1 cup; pork: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Paella,A simple and easy-to-make dish perfect for any day.,Snack,pasta: 2 pieces; cheese: 1 cup; salmon: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Hearty Paella,A spicy and easy-to-make dish perfect for any day.,High-protein; Dessert; Dinner,tomato: 1 cup; beef: 1 piece; tomato: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Creamy Omelet,A quick and easy-to-make dish perfect for any day.,Dinner; Dessert,spinach: 1 piece; garlic: 100g; garlic: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Creamy Pasta,A savory and easy-to-make dish perfect for any day.,Lunch; Dessert,tomato: 100g; rice: 2 tbsp; pepper: 100g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Spicy Risotto,A fragrant and easy-to-make dish perfect for any day.,Dinner; Dessert; Vegan,carrot: 1 tbsp; pasta: 1 tbsp; garlic: 1 piece,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Savory Gratin,A creamy and easy-to-make dish perfect for any day.,Gluten-free; High-protein; Lunch,beans: 2 pieces; beef: 1 piece; pasta: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Comforting Sandwich,A zesty and easy-to-make dish perfect for any day.,Lunch; Snack,beef: 2 tbsp; garlic: 1 piece; pepper: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Zesty Omelet,A comforting and easy-to-make dish perfect for any day.,Snack,cheese: 1 tbsp; rice: 200g; beef: 1 tbsp,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Comforting Pizza,A hearty and easy-to-make dish perfect for any day.,Snack,pasta: 1 cup; garlic: 1 cup; garlic: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.
Spicy Salad,A zesty and easy-to-make dish perfect for any day.,Dinner; Dessert; Snack,chicken: 200g; potato: 200g; cheese: 2 pieces,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
Hearty Bowl,A quick and easy-to-make dish perfect for any day.,Gluten-free; Low-carb; Breakfast,pork: 2 tbsp; chicken: 1 cup; potato: 200g,Prepare the ingredients.; Heat a pan over medium heat.; Combine everything and cook for a few minutes.; Serve immediately.
